"","def_w1","def_w2","econ_w1","econ_w2","soc_w1","soc_w2","EG1_BINDING_SHORT","EG2_BINDING_SHORT","authority1","authority2","loyalty1","loyalty2","purity1","purity2","EG1_IND_SHORT","EG2_IND_SHORT","fairness1","fairness2","harm1","harm2","AGE","Q50","sex_num","Q17_02","Q17_06","Q17_09","Q17_15","Q17_18","Q17_23","Q17_24","Q17_04","Q17_21","Q17_26","Q17_12","Q17_28","Q17_30","RETEST_Q17_02","RETEST_Q17_06","RETEST_Q17_09","RETEST_Q17_15","RETEST_Q17_18","RETEST_Q17_23","RETEST_Q17_24","RETEST_Q17_04","RETEST_Q17_21","RETEST_Q17_26","RETEST_Q17_12","RETEST_Q17_28","RETEST_Q17_30"
"1654",3,3,1.4,1.2,1.57142857142857,1.28571428571429,3,0,3,0,3,0,3,0,3,0,3,0,3,0,28,5,0,3,3,1,1,1,1,1,1,3,1,3,3,3,1,3,1,1,1,1,1,1,2,1,3,3,3
"1655",3,3,1.6,1.6,1.57142857142857,2,2.16666666666667,1.5,2,2,2.5,0,2,2.5,3.5,1.75,4,2,3,1.5,28,2,1,2,2,2,2,1,1,1,1,2,1,3,3,3,3,3,2,3,1,1,1,1,1,1,3,3,3
"1656",1.33333333333333,1,1.4,1.4,1.28571428571429,1,3,2.33333333333333,2,1,3,3,4,3,4.75,4.75,4.5,4.5,5,5,24,5,0,2,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1
"1657",2,1.66666666666667,1,1,1.57142857142857,1.57142857142857,3.33333333333333,3.5,4,3.5,3,3.5,3,3.5,3.25,3.25,3,3,3.5,3.5,24,5,1,1,3,3,1,1,1,1,1,1,1,1,2,3,1,3,3,1,1,1,1,1,1,1,1,3,1
"1658",NA,3,NA,1.4,NA,1.57142857142857,NA,3.16666666666667,NA,4,NA,2.5,NA,3,NA,3,NA,3.5,NA,2.5,28,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,1,1,1,1,1,3,1,3,3,3
"1659",2.33333333333333,2,1.2,1,1.42857142857143,1.42857142857143,3.66666666666667,2.66666666666667,3.5,2.5,4,2.5,3.5,3,3,3.25,4,3.5,2,3,29,2,0,2,2,1,1,1,2,1,1,2,1,2,3,2,1,3,1,1,1,2,1,1,1,1,2,2,2
"1660",2,1.33333333333333,1.2,1.2,1.28571428571429,1.28571428571429,3.66666666666667,2.66666666666667,3.5,2.5,4.5,3,3,2.5,4,2.75,4.5,3,3.5,2.5,29,5,1,2,2,1,1,1,1,1,1,2,1,1,3,2,2,2,1,1,1,1,1,1,2,1,1,2,1
"1661",3,2.33333333333333,1,1,1.57142857142857,1.85714285714286,3.5,3.5,4,3.5,3,3.5,3.5,3.5,4.5,4.5,4.5,4.5,4.5,4.5,25,5,0,2,3,1,1,1,1,2,1,1,1,3,3,3,3,3,1,1,1,1,3,1,1,1,3,3,1
"1662",2.66666666666667,NA,1.4,NA,1.42857142857143,NA,4.16666666666667,NA,4,NA,4,NA,4.5,NA,3.75,NA,4.5,NA,3,NA,25,2,1,3,1,2,1,1,1,1,1,2,1,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1663",1,2,1.4,1.2,1.28571428571429,1.14285714285714,3.83333333333333,2.66666666666667,4,2.5,3.5,2.5,4,3,4,2.75,4,2.5,4,3,28,2,0,2,2,1,1,1,1,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,3,2
"1664",1,2,1,1,1.28571428571429,1.57142857142857,2.5,3,2.5,2.5,2.5,3.5,2.5,3,3,4,3.5,4,2.5,4,28,4,1,3,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,2,2,2
"1665",NA,2,NA,1.2,NA,1.85714285714286,NA,1.66666666666667,NA,1.5,NA,0.5,NA,3,NA,2.25,NA,2.5,NA,2,25,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,1,1,1,3,1,2,1,2,2,2
"1666",1.66666666666667,1.66666666666667,1.4,1.2,2.14285714285714,2,3,2.5,3,2,3,2.5,3,3,2.5,3.25,3,3.5,2,3,24,1,1,1,3,3,1,3,2,2,1,3,1,1,3,1,1,3,3,2,1,2,2,1,2,1,1,3,1
"1667",1.66666666666667,NA,1,NA,1.42857142857143,NA,3.33333333333333,NA,4,NA,4,NA,2,NA,4.25,NA,4.5,NA,4,NA,24,3,0,1,3,2,1,1,1,1,1,1,1,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1668",NA,1.66666666666667,NA,1,NA,1.42857142857143,NA,3,NA,3.5,NA,3.5,NA,2,NA,5,NA,5,NA,5,25,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,1,1,2,1,1,1,1,1,3,1
"1669",1.33333333333333,NA,1.2,NA,1.57142857142857,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,25,2,0,3,3,1,1,1,1,1,1,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1670",1.33333333333333,NA,1.2,NA,1.42857142857143,NA,2.83333333333333,NA,2.5,NA,3,NA,3,NA,3.25,NA,3,NA,3.5,NA,25,2,1,1,2,2,1,1,1,2,1,2,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1671",2,NA,1,NA,1.57142857142857,NA,3.33333333333333,NA,4,NA,3,NA,3,NA,4,NA,4,NA,4,NA,26,2,1,1,1,2,1,2,3,1,1,1,1,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1672",2.33333333333333,2,1.4,1.4,2.57142857142857,2.28571428571429,4.16666666666667,3.33333333333333,4,3,4,3,4.5,4,4,3,4,3,4,3,26,3,0,3,3,3,3,1,3,2,1,2,1,2,3,2,1,3,3,2,2,3,2,1,2,1,2,2,2
"1673",2,2.66666666666667,1.4,1.2,2.14285714285714,1.71428571428571,3,3.33333333333333,3,3.5,3,3,3,3.5,3,4,3,4,3,4,26,1,0,3,3,2,2,1,2,2,1,1,2,1,3,2,1,3,1,2,1,2,2,1,1,1,2,3,3
"1674",2.33333333333333,3,1.2,1,1.71428571428571,1.42857142857143,3.66666666666667,4,4,4,4,4,3,4,3.5,3.75,3.5,4,3.5,3.5,26,3,1,1,3,2,3,1,1,1,1,1,1,2,3,2,1,3,1,2,1,1,1,1,1,1,3,3,3
"1675",3,NA,1.6,NA,1.57142857142857,NA,4,NA,3.5,NA,3.5,NA,5,NA,4,NA,4,NA,4,NA,27,5,1,3,3,1,1,1,1,1,1,3,1,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1676",3,NA,1.8,NA,1.85714285714286,NA,2.33333333333333,NA,3,NA,1.5,NA,2.5,NA,1.75,NA,2,NA,1.5,NA,27,5,0,1,3,3,1,1,1,3,1,3,1,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1677",1,NA,1.4,NA,1,NA,1.66666666666667,NA,1.5,NA,2,NA,1.5,NA,3,NA,2.5,NA,3.5,NA,26,5,1,1,1,1,1,1,1,1,1,3,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1678",2,3,1.6,1,1.71428571428571,1.42857142857143,3.83333333333333,3,2.5,2.5,4.5,3.5,4.5,3,3.5,4.25,3,4,4,4.5,26,5,0,1,3,2,2,1,1,2,2,2,1,2,2,2,1,3,1,1,1,1,2,1,1,1,3,3,3
"1679",1.66666666666667,NA,1,NA,1.42857142857143,NA,2.33333333333333,NA,2,NA,2.5,NA,2.5,NA,4,NA,4,NA,4,NA,27,5,0,2,3,1,1,1,1,1,1,1,1,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1680",1,NA,1,NA,1.42857142857143,NA,4.66666666666667,NA,5,NA,5,NA,4,NA,5,NA,5,NA,5,NA,27,3,1,3,1,1,1,1,1,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
